question,subject,choices,answer
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, tricarbimide,, massaging,, impracticably]",0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, tricarbimide,, massaging,, impracticably]",1
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, tricarbimide,, massaging,, impracticably]",2
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, tricarbimide,, massaging,, impracticably]",3
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, impracticably,, amphipodal,, tricarbimide]",0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, impracticably,, amphipodal,, tricarbimide]",1
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, impracticably,, amphipodal,, tricarbimide]",2
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, impracticably,, amphipodal,, tricarbimide]",3
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, tricarbimide,, impracticably,, amphipodal]",0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, tricarbimide,, impracticably,, amphipodal]",1
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, tricarbimide,, impracticably,, amphipodal]",2
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, tricarbimide,, impracticably,, amphipodal]",3
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, impracticably,, massaging,, amphipodal]",0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, impracticably,, massaging,, amphipodal]",1
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, impracticably,, massaging,, amphipodal]",2
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, impracticably,, massaging,, amphipodal]",3
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, hypertrophied,, subunequal]",0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, hypertrophied,, subunequal]",1
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, hypertrophied,, subunequal]",2
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, hypertrophied,, subunequal]",3
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, subunequal,, hypertrophied]",0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, subunequal,, hypertrophied]",1
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, subunequal,, hypertrophied]",2
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, subunequal,, hypertrophied]",3
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, sorbate,, hexachlorocyclohexane,, subunequal]",0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, sorbate,, hexachlorocyclohexane,, subunequal]",1
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, sorbate,, hexachlorocyclohexane,, subunequal]",2
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, sorbate,, hexachlorocyclohexane,, subunequal]",3
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, hexachlorocyclohexane,, subunequal,, sorbate]",0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, hexachlorocyclohexane,, subunequal,, sorbate]",1
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, hexachlorocyclohexane,, subunequal,, sorbate]",2
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, hexachlorocyclohexane,, subunequal,, sorbate]",3
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, liferenter,, unoxidative,, alunogen]",0
