answer,choices,question
0,"cocainization,,kinkcough,,clysis,,rotundiform","Davis decided to kill Adams. He set out for Adams's house. Before he got there he saw Brooks, who resembled Adams. Thinking that Brooks was Adams, Davis shot at Brooks. The shot missed Brooks but wounded Case, who was some distance away. Davis had not seen Case. In a prosecution under a statute that proscribes any attempt to commit murder, the district attorney should indicate that the intended victim(s) was/were"
1,"champak,,undiplomatic,,gamp,,overfoully","A state statute requires any person licensed to sell prescription drugs to file with the State Board of Health a report listing the types and amounts of such drugs sold if his or her sales of such drugs exceed $50,000 during a calendar year. The statute makes it a misdemeanor to ""knowingly fail to file"" such a report. Nelson, who is licensed to sell prescription drugs, sold $63,000 worth of prescription drugs during 1976 but did not file the report. Charged with committing the misdemeanor, Nelson testifies that he did a very poor job of keeping records and did not realize that his sales of prescription drugs had exceeded $50,000. If the jury believes Nelson, he should be found "
2,"addictively,,kiln,,retroposed,,villiplacentalia","Lender met Borrower on the street, demanded that Borrower pay a debt owed to Lender, and threatened to punch Borrower in the nose. A fight ensued between them. Mann came upon the scene just as Lender was about to kick Borrower in the head. Noting that Lender was getting the better of the fight, Mann pointed a gun at Lender and said, ""Stop, or I\"
3,"reaper,,apoquinamine,,interrogated,,uxoriously","Peter sued Don for breach of contract. The court admitted testimony by Peter that Don and his wife quarreled frequently, a fact of no consequence to the lawsuit. Don seeks to testify in response that he and his wife never quarreled. The court"
0,"antireligionist,,baptising,,ultraradical,,stomodeums",Ames had painted Bell\
1,"mogrebbin,,infralabial,,alamiqui,,baronethood","The State of Aurora requires licenses of persons ""who are engaged in the trade of barbering."" It will grant such licenses only to those who are graduates of barber schools located in Aurora, who have resided in the state for two years, and who are citizens of the United States. The requirement that candidates for license must be graduates of barber schools in Aurora is probably"
2,"atroceruleus,,rhizoneure,,prefixal,,agglomeration","The State of Aurora requires licenses of persons ""who are engaged in the trade of barbering."" It will grant such licenses only to those who are graduates of barber schools located in Aurora, who have resided in the state for two years, and who are citizens of the United States. The requirement that candidates for licenses must be citizens is"
3,"unharmed,,fatiguability,,localize,,tracheobronchial","The State of Aurora requires licenses of persons ""who are engaged in the trade of barbering."" It will grant such licenses only to those who are graduates of barber schools located in Aurora, who have resided in the state for two years, and who are citizens of the United States. Assume that a resident of the state of Aurora was denied a license because she graduated from an out-of-state barber school. Her suit in federal court to enjoin denial of the license on this ground would be"
0,"unfringed,,acethydrazide,,fraudlessness,,pudgily","The State of Aurora requires licenses of persons ""who are engaged in the trade of barbering."" It will grant such licenses only to those who are graduates of barber schools located in Aurora, who have resided in the state for two years, and who are citizens of the United States. Which of the following is the strongest ground on which to challenge the requirement that candidates for barber licenses must have been residents of the state for at least two years?"
1,"unwrap,,schoolmasterishness,,steenbrass,,essene","John was fired from his job. Too proud to apply for unemployment benefits, he used his savings to feed his family. When one of his children became ill, he did not seek medical attention for the child at a state clinic because he did not want to accept what he regarded as charity. Eventually, weakened by malnutrition, the child died as a result of the illness. John has committed"
2,"eyewinker,,oncosphere,,sceneful,,sunderer","Professor Merrill, in a lecture in her psychology course at a private university, described an experiment in which a group of college students in a neighboring city rushed out and washed cars stopped at traffic lights during the rush hour. She described how people reacted differently \x80\x94with shock, joy, and surprise. At the conclusion of her report, she said, ""You understand, of course, that you are not to undertake this or any other experiment unless you first clear it with me."" Four of Merrill\"
