question,subject,choices,answer
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[0,, 4,, 2,, 6]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[0,, 4,, 6,, 2]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[0,, 2,, 4,, 6]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[0,, 2,, 6,, 4]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[0,, 6,, 4,, 2]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[0,, 6,, 2,, 4]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[4,, 0,, 2,, 6]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[4,, 0,, 6,, 2]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[4,, 2,, 0,, 6]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[4,, 2,, 6,, 0]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[4,, 6,, 0,, 2]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[4,, 6,, 2,, 0]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[2,, 0,, 4,, 6]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[2,, 0,, 6,, 4]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[2,, 4,, 0,, 6]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[2,, 4,, 6,, 0]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[2,, 6,, 0,, 4]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[2,, 6,, 4,, 0]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[6,, 0,, 4,, 2]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[6,, 0,, 2,, 4]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[6,, 4,, 0,, 2]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[6,, 4,, 2,, 0]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[6,, 2,, 0,, 4]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[6,, 2,, 4,, 0]",1
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[8,, 2,, 24,, 120]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[8,, 2,, 120,, 24]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[8,, 24,, 2,, 120]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[8,, 24,, 120,, 2]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[8,, 120,, 2,, 24]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[8,, 120,, 24,, 2]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[2,, 8,, 24,, 120]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[2,, 8,, 120,, 24]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[2,, 24,, 8,, 120]",2
